SpeciesID	SeedMass	SeedlingMass	AdultMass	Annual	AltitudeOptimum	AltitudeTolerance	MaximumSuitability	MeanDispDist	LongDistDispAbility	AlleeThreshold
359	359	0.40694	7200	36000	0	6	3	0.62	0.02101	0.33	-0.946
360	360	0.0583438	148	740	0	14	5	0.43	0.01101	0.51	-0.264
361	361	0.066453	192	960	0	9	7	0.43	0.00101	0.14	-0.958
362	362	0.28775	3600	18000	0	10	8	0.88	0.00701	0.94	-0.653
363	363	0.0262679	30	150	1	13	4	0.64	0.01501	0.83	-0.642
364	364	0.401248	7000	35000	0	11	7	0.96	0.02601	0.16	-0.085
365	365	0.0678233	200	1000	0	1	7	0.38	0.04201	0.04	-0.543
366	366	0.271126	1020000	5100000	0	5	6	0.79	0.04301	0.68	-0.797
367	367	0.110232	920000	4600000	0	7	8	0.37	0.02001	0.5	-0.58
368	368	0.0678233	200	1000	0	13	5	0.19	0.03701	0.49	954
369	369	6.01845	11400	57000	0	8	7	0.26	0.03001	0.05	807
370	370	0.0339116	50	250	0	9	6	0.11	0.00501	0.93	-0.611
371	371	14.803	1440000	7200000	0	4	7	0.54	0.04001	0.67	793
372	372	0.603403	620000	3100000	0	13	4	0.47	0.01501	0.65	-0.568
373	373	0.0412553	74	370	1	9	5	0.21	0.04001	0.87	-0.377
374	374	0.479583	10000	50000	0	9	9	0.85	0.04901	0.22	-0.714
375	375	0.401248	7000	35000	0	12	9	0.6	0.00901	0.85	907
376	376	0.0371484	60	300	1	8	4	0.15	0.04101	0.16	-0.285
377	377	0.0579483	146	730	1	8	7	0.07	0.02701	0.5	-0.858
378	378	0.059127	152	760	1	14	3	0.99	0.04001	0.05	-0.06
379	379	0.0525357	120	600	1	4	6	0	0.04901	0.86	-0.847
380	380	1.64022	19200	96000	0	10	7	0.74	0.03901	0.17	-0.758
381	381	2.98867	1800000	9e+06	0	4	4	0.47	0.02501	0.96	-0.157
382	382	0.0332012	5e+05	2500000	0	15	4	0.15	1e-05	0.49	-0.621
383	383	0.0604965	13800	69000	0	4	4	0.89	0.03301	0.26	170
384	384	1.81272	12600	63000	0	6	6	0.06	1e-05	0.94	-0.615
385	385	0.0134986	20000	1e+05	0	13	6	0.03	0.00601	0.65	-0.377
386	386	0.0502991	110	550	0	15	2	0.38	0.02201	0.19	-0.832
387	387	0.0303315	40	200	1	11	8	0.22	0.04901	0.4	-0.555
388	388	2.00337	13000	65000	0	9	7	0.04	0.03901	0.88	-0.037
389	389	0.0542586	128	640	1	8	4	0.81	0.00301	0.51	-0.481
390	390	0.0151658	10	50	0	15	6	0.39	0.02901	0.5	-0.508
391	391	0.0279643	34	170	0	8	9	0.65	0.02101	0.68	-0.514
392	392	26.9728	1720000	8600000	0	2	7	0.45	0.01401	0.97	-0.14
393	393	0.234947	2400	12000	0	5	5	0.72	0.00801	0.04	756
394	394	0.05755	144	720	1	4	9	0.6	0.01201	0.89	-0.907
395	395	0.179444	1400	7000	0	1	5	0.5	0.02301	0.24	-0.325
396	396	1.09947	1540000	7700000	0	13	2	0.02	0.02801	0.65	-0.508
397	397	22.0835	11400	57000	0	12	3	0.27	0.04301	0.42	-0.743
398	398	0.0401248	70	350	0	8	3	0.36	0.03501	0.16	197
399	399	0.0201375	1440000	7200000	0	8	9	0.38	0.04001	0.96	-0.373
400	400	0.0191833	16	80	1	6	9	0.59	0.00901	0.58	-0.29
